Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 1, Пчёл-охранников: 19, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 2, Пчёл-охранников: 18, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 1, Пчёл-охранников: 19, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
^C
kallklokhet@plm2 8 % ./monitor_client 127.0.0.1 1 1

Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
^C
kallklokhet@plm2 8 % ./monitor_client 127.0.0.1 1 1

Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
^C




Переподключение сработало! Аналогично в другом мониторе:
